"id","comment","category","enabled","constant","selective","keys","position","depth","insertionOrder","characters","ejs","decorators","getvarPaths","relativePath"
"46","人物详情：陆雪琪","人物与NPC","true","false","true","陆雪琪|昆仑道门圣女|气运之女","after_char","4","100","571","false","","","世界书\人物详情：陆雪琪.txt"
"47","人物详情：紫薇","人物与NPC","true","false","true","紫薇|天机阁主代行者|《大衍天机算》|神通星轨|拨动命运丝线|承受因果反噬|知晓天下九成秘密|价值连城情报|天机阁世间代言人","after_char","4","100","627","false","","","世界书\人物详情：紫薇.txt"
"48","人物详情：曦和","人物与NPC","true","false","true","曦和|太阳神宫神女|神女","after_char","4","100","587","false","","","世界书\人物详情：曦和.txt"
"49","人物详情：血神·绯月","人物与NPC","true","false","true","绯月|血神宫现任宫主|血神","after_char","4","100","528","false","","","世界书\人物详情：血神·绯月.txt"
"50","人物详情：天妤夫人","人物与NPC","true","false","true","天妤夫人|合欢宗宗主|天妤","after_char","4","100","625","false","","","世界书\人物详情：天妤夫人.txt"
"51","人物详情：叶清","人物与NPC","true","false","true","叶清|《嫁衣魔功》残篇","after_char","4","100","605","false","","","世界书\人物详情：叶清.txt"
"52","人物详情：龙傲飞","人物与NPC","true","false","true","龙傲飞|天命之子|三十年河东三十年河西莫欺少年穷","after_char","4","100","486","false","","","世界书\人物详情：龙傲飞.txt"
"53","人物详情：苏沐雪","人物与NPC","true","false","true","苏沐雪|广寒宫执法长老|掌宗门刑罚","after_char","4","100","558","false","","","世界书\人物详情：苏沐雪.txt"
"54","人物详情：叶冰","人物与NPC","true","false","true","叶冰|蜀山剑门传功长老","after_char","4","100","509","false","","","世界书\人物详情：叶冰.txt"
"55","人物详情：炎帝","人物与NPC","true","false","true","炎帝|太阳神宫之主","after_char","4","100","621","false","","","世界书\人物详情：炎帝.txt"
"56","人物详情：秦心","人物与NPC","true","false","true","秦心|血神宫圣女","after_char","4","100","653","false","","","世界书\人物详情：秦心.txt"
"57","人物详情：红绡","人物与NPC","true","false","true","红绡|合欢宗圣女|情天幻海诀|天魔极乐宝鉴进阶功法|天妤夫人首徒|下一代宗主候选人","after_char","4","100","625","false","","","世界书\人物详情：红绡.txt"
"58","人物详情：苏琉璃","人物与NPC","true","false","true","苏琉璃|九尾天狐族公主|勾魂狐狸眼|动情生气冒狐狸尾巴|九尾天狐王族血脉|精通幻术魅惑|神通狐嫁|本命幻术|真假难辨幻境|东极青木域","after_char","4","100","673","false","","","世界书\人物详情：苏琉璃.txt"
"59","人物详情：秦无夜","叙事与生成协议","true","false","true","秦无夜|魔道散修|夜君|自创阿鼻道三刀|杀戮魔功|三刀斩肉身神魂因果|正魔两道凶名赫赫","after_char","4","100","667","false","","","世界书\人物详情：秦无夜.txt"
"60","人物详情：云舒窈","人物与NPC","true","false","true","云舒窈|昆仑道门外交长老","after_char","4","100","693","false","","","世界书\人物详情：云舒窈.txt"
"61","人物详情：大衍长老","人物与NPC","true","false","true","大衍|大衍长老","after_char","4","100","457","false","","","世界书\人物详情：大衍长老.txt"
"62","人物详情：烈阳长老","人物与NPC","true","false","true","烈阳|太阳神宫刑罚长老|男性体修|《烈阳焚天功》|太阳神宫执法者|《大日不灭身》|烈阳长老","after_char","4","100","592","false","","","世界书\人物详情：烈阳长老.txt"
"63","人物详情：构军","人物与NPC","true","false","true","构军|血神宫太上长老","after_char","4","100","604","false","","","世界书\人物详情：构军.txt"
"64","人物详情：林欣","人物与NPC","true","false","true","林欣长老|合欢宗长老|天山童姥|残杀无数年轻男修|林欣","after_char","4","100","588","false","","","世界书\人物详情：林欣.txt"
"65","人物详情：慧空","人物与NPC","true","false","true","慧空|大雷音寺之主|西漠佛国领袖|天下佛修最高信仰|坐镇大雷音寺|镇压上古大魔|魔高一尺佛高一丈","after_char","4","100","576","false","","","世界书\人物详情：慧空.txt"
"66","人物详情：般若","人物与NPC","true","false","true","般若|大雷音寺佛女|天生佛心|易悟高深佛理","after_char","4","100","665","false","","","世界书\人物详情：般若.txt"
"67","仙界天骄大比","叙事与生成协议","false","true","false","","before_char","4","100","378","false","","","世界书\仙界天骄大比.txt"
"68","人物详情：韩月灵","人物与NPC","true","false","true","韩月灵|隐世家族传人|先天冰魄体|操控极寒之气|冰系功法绝佳体质|《冰魄心经》|玄冰箫","after_char","4","100","637","false","","","世界书\人物详情：韩月灵.txt"
"69","人物详情：林妙音","人物与NPC","true","false","true","林妙音|音修|《九天霓裳曲》|音律入道|琴音化音刃伤人|抚平伤痛安抚神魂|琴声对妖兽有奇效|《安魂引》天音仙子|抚琴疗伤不求回报","after_char","4","100","585","false","","","世界书\人物详情：林妙音.txt"
"70","人物详情：广慧","人物与NPC","true","false","true","广慧|大雷音寺戒律院首座|《不动明王经》|金刚怒火|大雷音寺戒刀|追捕叛僧|镇压南离火洲魔君|镇魔塔","after_char","4","100","545","false","","","世界书\人物详情：广慧.txt"
"71","人物详情：幽梦","人物与NPC","true","false","true","幽梦|万魂殿圣魂女|先天通灵之体|神魂亲和力|怨魂交响曲|安抚支配融合怨魂|怨魂不失理智","after_char","4","100","584","false","","","世界书\人物详情：幽梦.txt"
"72","人物详情：噬魂长老","人物与NPC","true","false","true","噬魂长老|万魂殿长老|《噬魂大法》|聚魂瓶|万魂殿","after_char","4","100","542","false","","","世界书\人物详情：噬魂长老.txt"
"73","遁术","叙事与生成协议","true","true","false","","before_char","4","100","732","false","","","世界书\遁术.txt"
"74","突破丹药","境界与力量体系","true","true","false","","before_char","4","100","1732","false","","","世界书\突破丹药.txt"
"75","识海、神魂、精血","境界与力量体系","true","true","false","","before_char","4","100","279","false","","","世界书\识海、神魂、精血.txt"
"76","玄天界前期保护机制","叙事与生成协议","false","true","false","","after_char","3","100","212","false","","","世界书\玄天界前期保护机制.txt"
"77","势力详情：大周仙朝","境界与力量体系","true","false","true","大周仙朝|强周|神朝|中央集权式修仙帝国|神武大帝·姬昊天|皇道龙气|神都·洛阳|九条极品龙脉|星辰铁|护城大阵|皇权至上|律法统御修仙界|宗门纳税|修士登记|三公九卿|镇魔司|钦天监|霸道正统|大周律法|中央神州|神策军|传国玉玺|黑暗动乱","after_char","4","100","394","false","","","世界书\势力详情：大周仙朝.yaml"
"78","势力详情：南梁古国","势力与组织","true","false","true","南梁古国|梁国|醉生梦死之地|凡人王朝|梁王·萧衍|凡人帝王|建康|烟雨江南|歌舞升平|东南富庶之地|紫灵米|以武入道","after_char","4","100","643","false","","","世界书\势力详情：南梁古国.txt"
"79","心魔劫","人物与NPC","true","false","true","心魔|心魔劫","after_char","4","100","409","false","","","世界书\心魔劫.txt"
"80","人物详细：冰凤","人物与NPC","true","false","true","冰凤|大周帝后|凤仪宫主|九天玄凤金红色凤袍|面若银盘|目似水杏|凤羽花钿|《天凤涅槃经》|凤鸣九天|结发妻子|大周仙朝实际管理者|后宫三千佳丽|皇室宝库|赐死妖族细作","after_char","4","100","583","false","","","世界书\人物详细：冰凤.txt"
"81","人物详细：姬紫月","人物与NPC","true","false","true","姬紫月|永宁公主|神策军监军|紫色帝气|紫绶仙衣|大周皇室明珠|淡紫色流仙裙|流云丝带|古灵精怪|紫衣女侠|溜出神都游历江湖|惩治恶少|向往宗门逍遥","after_char","4","100","583","false","","","世界书\人物详细：姬紫月.txt"
"82","人物详细：苏媚","人物与NPC","true","false","true","苏媚|苏贵妃|合欢宗暗子|《颠鸾倒凤诀》|千幻魅影|调香幻术|南梁王专宠|瑶光殿|吸干武道宗师","after_char","4","100","592","false","","","世界书\人物详细：苏媚.txt"
"83","人物详细：萧婉儿","人物与NPC","true","false","true","萧婉儿|长乐公主","after_char","4","100","590","false","","","世界书\人物详细：萧婉儿.txt"
"84","人物详细：姬昊天","人物与NPC","true","false","true","姬昊天|神武大帝|大周仙朝皇帝|黑金九龙袍|平天冠|十二旒冕|紫金皇气|言出法随|《皇极经世书》|普天之下|传国玉玺|禁武令","after_char","4","100","566","false","","","世界书\人物详细：姬昊天.txt"
"85","人物详细：李牧","人物与NPC","true","false","true","李牧|铁血侯|神策军大统领|镇国大将军|武道体修|黑玄铁战甲|巨型战刀|刀疤脸|《白虎杀神诀》|军阵·不动如山|军魂法相|人屠|踏平中型宗门|宗门草寇论","after_char","4","100","561","false","","","世界书\人物详细：李牧.txt"
"86","人物详细：萧衍 (梁王)","人物与NPC","true","false","true","萧衍|南梁王","after_char","4","100","902","false","","","世界书\人物详细：萧衍 (梁王).txt"
"87","妖兽化形取名","境界与力量体系","true","false","true","化形、妖兽化形、化形妖兽、化形大妖","after_char","4","100","736","false","","","世界书\妖兽化形取名.txt"
"88","人物详情：青练","人物与NPC","true","false","true","青练","after_char","4","100","823","false","","","世界书\人物详情：青练.txt"
"89","地点：东极青木域","势力与组织","true","false","true","东极青木域|青木域|妖族","after_char","4","100","990","false","","","世界书\地点：东极青木域.yaml"
"90","妖族势力：九尾天狐族","势力与组织","true","false","true","九尾天狐|天狐族|青丘国|妖皇","after_char","4","100","374","false","","","世界书\妖族势力：九尾天狐族.yaml"
"91","妖族势力：神猿族","势力与组织","true","false","true","神猿|万妖山脉","after_char","4","100","339","false","","","世界书\妖族势力：神猿族.yaml"
"92","妖族势力：蛟龙一族","势力与组织","true","false","true","蛟龙一族|蛟龙|覆海王族|北冥黑渊","after_char","4","100","354","false","","","世界书\妖族势力：蛟龙一族.yaml"
"93","-内容控制开关-玄天界 (二选一)","叙事与生成协议","true","true","false","","before_char","4","101","373","true","","","世界书\-内容控制开关-玄天界 (二选一).txt"
"94","妖族人物：敖凌霜","人物与NPC","true","false","true","敖凌霜|蛟龙","after_char","4","100","769","false","","","世界书\妖族人物：敖凌霜.txt"
"95","妖族人物：袁琪","人物与NPC","true","false","true","袁琪|战狂|神猿|少主|神猿族少主","after_char","4","100","784","false","","","世界书\妖族人物：袁琪.txt"
"96","妖族势力：孔灵月","人物与NPC","true","false","true","孔灵月|孔雀|五色孔雀王族|五色孔雀","after_char","4","100","782","false","","","世界书\妖族势力：孔灵月.txt"
"97","妖族人物：蛛心儿","人物与NPC","true","false","true","蛛心儿|万蛛谷谷主|万蛛谷|谷主","after_char","4","100","769","false","","","世界书\妖族人物：蛛心儿.txt"
"98","炼气期","叙事与生成协议","true","false","true","炼气期|炼气一层|炼气二层|炼气三层|炼气四层|炼气五层|炼气六层|炼气七层|炼气八层|炼气九层|炼气大圆满|筑基丹","after_char","4","100","317","false","","","世界书\炼气期.txt"
"99","筑基期","叙事与生成协议","true","false","true","筑基|筑基期|筑基初期|筑基中期|筑基后期|筑基期大圆满|筑基大圆满|凝金丹|结金丹","after_char","4","100","361","false","","","世界书\筑基期.txt"
"100","金丹期","叙事与生成协议","true","false","true","金丹|金丹期|金丹初期|金丹中期|金丹后期|金丹期大圆满|金丹大圆满|化婴丹","after_char","4","100","377","false","","","世界书\金丹期.txt"
"101","元婴期","叙事与生成协议","true","false","true","元婴|元婴期|元婴初期|元婴中期|元婴后期|元婴大圆满|元婴期大圆满|相生神游丹","after_char","4","100","412","false","","","世界书\元婴期.txt"
"102","化神期","叙事与生成协议","true","false","true","化神期|化神|化神初期|化神中期|化神后期|化神大圆满|化神期大圆满|虚合破元丹","after_char","4","100","550","false","","","世界书\化神期.txt"
"103","炼虚期","叙事与生成协议","true","false","true","炼虚期|炼虚|炼虚后期|炼虚中期|炼虚初期|炼虚大圆满|炼虚期大圆满|合体丹","after_char","4","100","685","false","","","世界书\炼虚期.txt"
"104","合体期","叙事与生成协议","true","false","true","合体|合体期|合体初期|合体中期|合体后期|合体大圆满|合体期大圆满","after_char","4","100","679","false","","","世界书\合体期.txt"
"105","大乘期","叙事与生成协议","true","false","true","大乘期|大乘|大乘初期|大乘中期|大乘后期|大乘大圆满|大乘期大圆满","after_char","4","100","871","false","","","世界书\大乘期.txt"
"106","苏千媚","人物与NPC","true","false","true","苏千媚|天狐|青丘国主","after_char","4","100","806","false","","","世界书\苏千媚.txt"
"107","渡劫期","境界与力量体系","true","false","true","渡劫期","after_char","4","100","104","false","","","世界书\渡劫期.txt"
"108","雷劫","人物与NPC","true","false","true","雷劫","after_char","4","100","225","false","","","世界书\雷劫.txt"
"109","恋爱","叙事与生成协议","true","true","true","","after_char","2","100","1093","false","","","世界书\恋爱.txt"
"110","回忆","叙事与生成协议","true","true","false","","before_char","2","100","649","false","","","世界书\回忆.txt"
"111","灵压","叙事与生成协议","true","true","false","","before_char","4","100","308","false","","","世界书\灵压.txt"
"112","死亡","叙事与生成协议","true","true","false","","after_char","2","100","451","false","","","世界书\死亡.yaml"
"113","人物详情：江楚楚","人物与NPC","true","false","true","小凤凰|江楚楚|凤凰血脉","after_char","4","100","839","false","","","世界书\人物详情：江楚楚.txt"
"114","地点详情：南离火洲","势力与组织","true","false","true","南离火洲|南洲|南离|火洲","after_char","4","100","1003","false","","","世界书\地点详情：南离火洲.yaml"
"115","地点详情：北冥雪原","势力与组织","true","false","true","北冥雪原|北冥|北原","after_char","4","100","852","false","","","世界书\地点详情：北冥雪原.yaml"
"116","人物详情:苏灿灿","叙事与生成协议","true","false","true","苏灿灿|女儿","after_char","4","100","1019","false","","","世界书\人物详情_苏灿灿.txt"
"117","人物详情:苏辰","叙事与生成协议","true","false","true","苏辰|穿越者","after_char","4","100","1098","false","","","世界书\人物详情_苏辰.txt"
"118","详情人物:慕清弦","人物与NPC","true","false","true","慕清弦|母亲","after_char","4","100","878","false","","","世界书\详情人物_慕清弦.txt"
"119","详情人物:温月清","人物与NPC","true","false","true","温月清","after_char","4","100","1012","false","","","世界书\详情人物_温月清.txt"
"120","详情人物:温小暖","人物与NPC","true","false","true","温小暖","after_char","4","100","998","false","","","世界书\详情人物_温小暖.txt"
"121","困难模式","叙事与生成协议","true","false","true","困难模式","after_char","4","100","1088","false","","","世界书\困难模式.txt"
"122","DC点数判定","叙事与生成协议","true","true","true","","after_char","2","100","1227","false","","","世界书\DC点数判定.txt"
"123","真仙境","叙事与生成协议","true","false","true","真仙境|飞升|真仙","after_char","4","100","628","false","","","世界书\真仙境.txt"
"124","金仙境","境界与力量体系","true","false","true","金仙境|金仙","after_char","4","100","573","false","","","世界书\金仙境.txt"
"125","玄仙境","叙事与生成协议","true","false","true","玄仙境|玄仙","after_char","4","100","593","false","","","世界书\玄仙境.txt"
"126","仙帝境","境界与力量体系","true","false","true","仙帝境|仙帝","after_char","4","100","593","false","","","世界书\仙帝境.txt"
"127","超脱境","境界与力量体系","true","false","true","超脱境","after_char","4","100","498","false","","","世界书\超脱境.txt"
"128","仙界介绍","境界与力量体系","false","true","false","","before_char","4","100","855","false","","","世界书\仙界介绍.txt"
"129","仙界核心区域","势力与组织","false","true","false","","before_char","4","100","278","false","","","世界书\仙界核心区域.txt"
"130","仙界地点详情：钧天仙域","势力与组织","true","false","true","钧天仙域","after_char","4","100","453","false","","","世界书\仙界地点详情：钧天仙域.yaml"
"131","仙界地点详情：青华仙域","势力与组织","true","false","true","青华仙域","after_char","4","100","452","false","","","世界书\仙界地点详情：青华仙域.yaml"
"132","仙界地点详情：炎极仙域","境界与力量体系","true","false","true","炎极仙域","after_char","4","100","419","false","","","世界书\仙界地点详情：炎极仙域.yaml"
"133","仙界地点详情：太白仙域","势力与组织","true","false","true","太白仙域","after_char","4","100","435","false","","","世界书\仙界地点详情：太白仙域.yaml"
"134","仙界地点详情：玄冥仙域","叙事与生成协议","true","false","true","玄冥仙域","after_char","4","100","414","false","","","世界书\仙界地点详情：玄冥仙域.yaml"
"135","仙界人物详情：玖柒","人物与NPC","true","false","true","玖柒","after_char","4","100","490","false","","","世界书\仙界人物详情：玖柒.txt"
"136","仙界势力详情：云上瑶池","势力与组织","true","false","true","九天瑶池|云上媱池|媱池","after_char","4","100","480","false","","","世界书\仙界势力详情：云上瑶池.txt"
"137","仙界特殊区域","势力与组织","false","true","false","","before_char","4","100","205","false","","","世界书\仙界特殊区域.txt"
"138","仙界飞升","叙事与生成协议","false","true","false","","before_char","4","100","1092","false","","","世界书\仙界飞升.txt"
"139","详细人物:韩立","人物与NPC","true","false","true","韩立|青元剑诀|玄阴经|大衍诀","after_char","4","100","865","false","","","世界书\详细人物_韩立.txt"
"140","详细人物:南宫婉","人物与NPC","true","false","true","南宫婉|素女轮回功|朱雀环|素心莲灯|冰魄云裳","after_char","4","100","597","false","","","世界书\详细人物_南宫婉.txt"
"141","详细人物:银月","人物与NPC","true","false","true","银月|雪玲","after_char","4","100","710","false","","","世界书\详细人物_银月.txt"
"142","详细物品:小绿瓶","叙事与生成协议","true","false","true","小绿瓶|掌天瓶","after_char","4","100","609","false","","","世界书\详细物品_小绿瓶.txt"
"143","详细物品:青竹蜂云剑","境界与力量体系","true","false","true","青竹蜂云剑","after_char","4","100","267","false","","","世界书\详细物品_青竹蜂云剑.txt"
"144","详细:噬金虫群设定","地点与世界结构","true","false","true","噬金虫|噬金虫群","after_char","4","100","223","false","","","世界书\详细_噬金虫群设定.txt"
"145","详细物品:风雷翅","地点与世界结构","true","false","true","风雷翅","after_char","4","100","199","false","","","世界书\详细物品_风雷翅.txt"
"146","详细灵宠:啼魂兽","境界与力量体系","true","false","true","啼魂兽","after_char","4","100","222","false","","","世界书\详细灵宠_啼魂兽.txt"
"147","详细物品:虚天鼎","地点与世界结构","true","false","true","虚天鼎","after_char","4","100","228","false","","","世界书\详细物品_虚天鼎.txt"
"148","详细物品:辟邪神雷","地点与世界结构","true","false","true","辟邪神雷","after_char","4","100","207","false","","","世界书\详细物品_辟邪神雷.txt"
"149","详细人物:石昊","人物与NPC","true","false","true","荒天帝|石昊|石村","after_char","4","100","679","false","","","世界书\详细人物_石昊.txt"
"150","详细人物:白小纯","人物与NPC","true","false","true","白小纯","after_char","4","100","483","false","","","世界书\详细人物_白小纯.yaml"
"151","详细人物:候小妹","人物与NPC","true","false","true","候小妹","after_char","4","100","304","false","","","世界书\详细人物_候小妹.txt"
"152","详细人物:古月方源","人物与NPC","true","false","true","方源|古月方源","after_char","4","100","438","false","","","世界书\详细人物_古月方源.txt"
"153","详细人物:宋文","人物与NPC","true","false","true","宋文|极阴","after_char","4","100","609","false","","","世界书\详细人物_宋文.txt"
"154","详细人物:商心慈","人物与NPC","true","false","true","商心慈","after_char","4","100","350","false","","","世界书\详细人物_商心慈.txt"
"155","-内容控制开关-仙界 (二选一)","人物与NPC","false","true","false","","before_char","4","100","247","true","","","世界书\-内容控制开关-仙界 (二选一).txt"
"156","详细:血海地印","地点与世界结构","true","false","true","血海地印","after_char","4","100","407","false","","","世界书\详细_血海地印.txt"
"157","详细:尸王转生决","境界与力量体系","true","false","true","尸王转生决","after_char","4","100","220","false","","","世界书\详细_尸王转生决.txt"
"158","详细:九大天雷秘术","境界与力量体系","true","false","true","九大天雷秘术","after_char","4","100","171","false","","","世界书\详细_九大天雷秘术.txt"
"159","详细:万毒混元身","地点与世界结构","true","false","true","万毒混元身","after_char","4","100","186","false","","","世界书\详细_万毒混元身.txt"
"160","详细:疑神刺","地点与世界结构","true","false","true","疑神刺","after_char","4","100","162","false","","","世界书\详细_疑神刺.txt"
"161","详细:血遁术","地点与世界结构","true","false","true","血遁术","after_char","4","100","127","false","","","世界书\详细_血遁术.txt"
"162","详细:替死傀儡术","地点与世界结构","true","false","true","替死傀儡|替死傀儡术","after_char","4","100","149","false","","","世界书\详细_替死傀儡术.txt"
"163","详细:噬元噬魂诀","境界与力量体系","true","false","true","噬元噬魂诀","after_char","4","100","161","false","","","世界书\详细_噬元噬魂诀.txt"
"164","详细:血祭术","境界与力量体系","true","false","true","血祭术","after_char","4","100","140","false","","","世界书\详细_血祭术.txt"
"165","详细:幽冥爪","地点与世界结构","true","false","true","幽冥爪","after_char","4","100","141","false","","","世界书\详细_幽冥爪.txt"
"166","详细人物:嫣雨烟","叙事与生成协议","true","false","true","嫣雨烟|万法宗|万法宗圣女","after_char","4","100","983","false","","","世界书\详细人物_嫣雨烟.txt"
"167","详细人物:唐弎","叙事与生成协议","true","false","true","唐弎|唐三","after_char","4","100","1219","false","","","世界书\详细人物_唐弎.txt"
"168","详细人物:银黎","人物与NPC","true","false","true","银黎|烛龙族|烛龙","after_char","4","100","690","false","","","世界书\详细人物_银黎.txt"
"169","详细人物:红蝶","人物与NPC","true","false","true","红蝶","after_char","4","100","612","false","","","世界书\详细人物_红蝶.txt"
"170","详细人物:王林","叙事与生成协议","true","false","true","王林","after_char","4","100","1146","false","","","世界书\详细人物_王林.txt"
"171","详细人物:楚星绾","人物与NPC","true","false","true","缚仙血手|先天紫阴之气|天庭公主|楚星绾","after_char","4","100","366","false","","","世界书\详细人物_楚星绾.txt"
"172","防全知","叙事与生成协议","true","true","false","","after_char","4","100","205","false","","","世界书\防全知.txt"
"173","详细人物：灵玥","人物与NPC","true","false","true","灵玥|灵汐|澪之果","after_char","4","100","715","false","","","世界书\详细人物：灵玥.txt"
"174","详细人物:上官玥","人物与NPC","true","false","true","斩孽飞星剑|无垢剑体|天庭执剑神将|上官玥","after_char","4","100","307","false","","","世界书\详细人物_上官玥.txt"
